2018-07-22 16:50:50 - INFO - saving to ./results/cifar100
2018-07-22 16:50:50 - DEBUG - run arguments: Namespace(batch_size=32, dataset='cifar100', epochs=100, evaluate=None, gpus='0', input_size=None, lr=0.1, model='vgg_cifar10_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='cifar100', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2018-07-22 16:50:50 - INFO - creating model vgg_cifar10_binary
2018-07-22 16:50:51 - INFO - created model with configuration: {'input_size': None, 'dataset': 'cifar100'}
2018-07-22 16:50:51 - INFO - number of parameters: 36626276
2018-07-22 16:53:00 - INFO - training regime: {0: {'optimizer': 'Adam', 'betas': (0.9, 0.999), 'lr': 0.005}, 40: {'lr': 0.001}, 80: {'lr': 0.0005}, 100: {'lr': 0.0001}, 120: {'lr': 5e-05}, 140: {'lr': 1e-05}}
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting method = Adam
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting lr = 0.005
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting betas = (0.9, 0.999)
2018-07-22 16:53:34 - INFO - TRAINING - Epoch: [0][530/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.1708 (4.6978)	Prec@1 9.375 (2.207)	Prec@5 21.875 (9.487)
2018-07-22 16:53:34 - INFO - TRAINING - Epoch: [0][540/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.2309 (4.6917)	Prec@1 3.125 (2.235)	Prec@5 21.875 (9.600)
2018-07-22 16:53:35 - INFO - TRAINING - Epoch: [0][550/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.3854 (4.6876)	Prec@1 3.125 (2.235)	Prec@5 15.625 (9.613)
2018-07-22 16:53:36 - INFO - TRAINING - Epoch: [0][560/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.4481 (4.6839)	Prec@1 0.000 (2.262)	Prec@5 9.375 (9.681)
2018-07-22 16:53:36 - INFO - TRAINING - Epoch: [0][570/1563]	Time 0.059 (0.063)	Data 0.000 (0.006)	Loss 4.4982 (4.6795)	Prec@1 0.000 (2.277)	Prec@5 15.625 (9.731)
2018-07-22 16:53:37 - INFO - TRAINING - Epoch: [0][580/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.4124 (4.6774)	Prec@1 3.125 (2.281)	Prec@5 12.500 (9.768)
2018-07-22 16:53:37 - INFO - TRAINING - Epoch: [0][590/1563]	Time 0.059 (0.063)	Data 0.000 (0.006)	Loss 4.2826 (4.6737)	Prec@1 6.250 (2.316)	Prec@5 25.000 (9.819)
2018-07-22 16:53:38 - INFO - TRAINING - Epoch: [0][600/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.2504 (4.6713)	Prec@1 6.250 (2.335)	Prec@5 18.750 (9.885)
2018-07-22 16:53:39 - INFO - TRAINING - Epoch: [0][610/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.8273 (4.6691)	Prec@1 3.125 (2.342)	Prec@5 15.625 (9.963)
2018-07-22 16:53:39 - INFO - TRAINING - Epoch: [0][620/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.5503 (4.6661)	Prec@1 0.000 (2.345)	Prec@5 9.375 (10.019)
2018-07-22 16:53:40 - INFO - TRAINING - Epoch: [0][630/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.6226 (4.6643)	Prec@1 0.000 (2.347)	Prec@5 12.500 (10.039)
2018-07-22 16:53:40 - INFO - TRAINING - Epoch: [0][640/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.6768 (4.6620)	Prec@1 3.125 (2.374)	Prec@5 6.250 (10.077)
2018-07-22 16:53:41 - INFO - TRAINING - Epoch: [0][650/1563]	Time 0.058 (0.063)	Data 0.000 (0.006)	Loss 4.6860 (4.6589)	Prec@1 0.000 (2.381)	Prec@5 6.250 (10.172)
2018-07-22 16:53:41 - INFO - TRAINING - Epoch: [0][660/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.4106 (4.6567)	Prec@1 12.500 (2.406)	Prec@5 18.750 (10.169)
2018-07-22 16:53:42 - INFO - TRAINING - Epoch: [0][670/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.6558 (4.6557)	Prec@1 3.125 (2.408)	Prec@5 9.375 (10.190)
2018-07-22 16:53:43 - INFO - TRAINING - Epoch: [0][680/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.6673 (4.6534)	Prec@1 3.125 (2.414)	Prec@5 12.500 (10.229)
2018-07-22 16:53:43 - INFO - TRAINING - Epoch: [0][690/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.4889 (4.6517)	Prec@1 3.125 (2.433)	Prec@5 15.625 (10.266)
2018-07-22 16:53:44 - INFO - TRAINING - Epoch: [0][700/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.7024 (4.6500)	Prec@1 0.000 (2.438)	Prec@5 0.000 (10.298)
2018-07-22 16:53:44 - INFO - TRAINING - Epoch: [0][710/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.6037 (4.6489)	Prec@1 0.000 (2.431)	Prec@5 6.250 (10.294)
2018-07-22 16:53:45 - INFO - TRAINING - Epoch: [0][720/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.7718 (4.6474)	Prec@1 0.000 (2.445)	Prec@5 6.250 (10.342)
2018-07-22 16:53:46 - INFO - TRAINING - Epoch: [0][730/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.6609 (4.6459)	Prec@1 0.000 (2.454)	Prec@5 6.250 (10.384)
2018-07-22 16:53:46 - INFO - TRAINING - Epoch: [0][740/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.4198 (4.6431)	Prec@1 0.000 (2.471)	Prec@5 9.375 (10.455)
2018-07-22 16:53:47 - INFO - TRAINING - Epoch: [0][750/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.4528 (4.6401)	Prec@1 6.250 (2.509)	Prec@5 25.000 (10.540)
2018-07-22 16:53:47 - INFO - TRAINING - Epoch: [0][760/1563]	Time 0.059 (0.062)	Data 0.000 (0.006)	Loss 4.3115 (4.6365)	Prec@1 0.000 (2.530)	Prec@5 9.375 (10.619)
2018-07-22 16:53:48 - INFO - TRAINING - Epoch: [0][770/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.8550 (4.6338)	Prec@1 0.000 (2.525)	Prec@5 3.125 (10.660)
2018-07-22 16:53:49 - INFO - TRAINING - Epoch: [0][780/1563]	Time 0.059 (0.062)	Data 0.000 (0.006)	Loss 4.1470 (4.6303)	Prec@1 3.125 (2.537)	Prec@5 12.500 (10.707)
2018-07-22 16:53:49 - INFO - TRAINING - Epoch: [0][790/1563]	Time 0.059 (0.062)	Data 0.000 (0.006)	Loss 4.5170 (4.6287)	Prec@1 3.125 (2.532)	Prec@5 15.625 (10.718)
2018-07-22 16:53:50 - INFO - TRAINING - Epoch: [0][800/1563]	Time 0.059 (0.062)	Data 0.000 (0.006)	Loss 4.4322 (4.6258)	Prec@1 3.125 (2.544)	Prec@5 18.750 (10.795)
2018-07-22 16:53:50 - INFO - TRAINING - Epoch: [0][810/1563]	Time 0.059 (0.062)	Data 0.000 (0.006)	Loss 4.6593 (4.6235)	Prec@1 3.125 (2.597)	Prec@5 6.250 (10.859)
2018-07-22 16:53:51 - INFO - TRAINING - Epoch: [0][820/1563]	Time 0.059 (0.062)	Data 0.000 (0.006)	Loss 4.4835 (4.6205)	Prec@1 0.000 (2.600)	Prec@5 12.500 (10.917)
2018-07-22 16:53:51 - INFO - TRAINING - Epoch: [0][830/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.6247 (4.6180)	Prec@1 3.125 (2.606)	Prec@5 18.750 (10.966)
2018-07-22 16:53:52 - INFO - TRAINING - Epoch: [0][840/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.3097 (4.6149)	Prec@1 3.125 (2.638)	Prec@5 18.750 (11.066)
2018-07-22 16:53:53 - INFO - TRAINING - Epoch: [0][850/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.3983 (4.6137)	Prec@1 6.250 (2.637)	Prec@5 15.625 (11.094)
2018-07-22 16:53:53 - INFO - TRAINING - Epoch: [0][860/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.3081 (4.6113)	Prec@1 3.125 (2.660)	Prec@5 9.375 (11.146)
2018-07-22 16:53:54 - INFO - TRAINING - Epoch: [0][870/1563]	Time 0.058 (0.062)	Data 0.000 (0.006)	Loss 4.6477 (4.6090)	Prec@1 0.000 (2.666)	Prec@5 3.125 (11.158)
2018-07-22 16:53:54 - INFO - TRAINING - Epoch: [0][880/1563]	Time 0.059 (0.061)	Data 0.000 (0.006)	Loss 4.7903 (4.6082)	Prec@1 3.125 (2.685)	Prec@5 9.375 (11.159)
2018-07-22 16:53:55 - INFO - TRAINING - Epoch: [0][890/1563]	Time 0.059 (0.061)	Data 0.000 (0.006)	Loss 4.4155 (4.6069)	Prec@1 3.125 (2.683)	Prec@5 9.375 (11.192)
2018-07-22 16:53:56 - INFO - TRAINING - Epoch: [0][900/1563]	Time 0.059 (0.061)	Data 0.000 (0.006)	Loss 4.3948 (4.6050)	Prec@1 6.250 (2.698)	Prec@5 15.625 (11.258)
2018-07-22 16:53:56 - INFO - TRAINING - Epoch: [0][910/1563]	Time 0.059 (0.061)	Data 0.000 (0.006)	Loss 4.5737 (4.6019)	Prec@1 0.000 (2.703)	Prec@5 12.500 (11.289)
2018-07-22 16:53:57 - INFO - TRAINING - Epoch: [0][920/1563]	Time 0.059 (0.061)	Data 0.000 (0.006)	Loss 4.6696 (4.5998)	Prec@1 0.000 (2.708)	Prec@5 6.250 (11.302)
2018-07-22 16:53:57 - INFO - TRAINING - Epoch: [0][930/1563]	Time 0.059 (0.061)	Data 0.000 (0.006)	Loss 4.5992 (4.5974)	Prec@1 3.125 (2.726)	Prec@5 15.625 (11.365)
2018-07-22 16:53:58 - INFO - TRAINING - Epoch: [0][940/1563]	Time 0.059 (0.061)	Data 0.000 (0.006)	Loss 4.2794 (4.5950)	Prec@1 0.000 (2.720)	Prec@5 28.125 (11.431)
2018-07-22 16:53:58 - INFO - TRAINING - Epoch: [0][950/1563]	Time 0.058 (0.061)	Data 0.000 (0.006)	Loss 4.5257 (4.5929)	Prec@1 9.375 (2.711)	Prec@5 9.375 (11.462)
2018-07-22 16:53:59 - INFO - TRAINING - Epoch: [0][960/1563]	Time 0.058 (0.061)	Data 0.000 (0.006)	Loss 4.3672 (4.5903)	Prec@1 6.250 (2.722)	Prec@5 15.625 (11.528)
2018-07-22 16:54:00 - INFO - TRAINING - Epoch: [0][970/1563]	Time 0.058 (0.061)	Data 0.000 (0.006)	Loss 4.6120 (4.5889)	Prec@1 0.000 (2.736)	Prec@5 6.250 (11.544)
2018-07-22 16:54:00 - INFO - TRAINING - Epoch: [0][980/1563]	Time 0.059 (0.061)	Data 0.000 (0.006)	Loss 4.5938 (4.5876)	Prec@1 3.125 (2.740)	Prec@5 18.750 (11.576)
